Entity,Code,Year,Income classifications (World Bank (2017)),primary_key
Albania,ALB,2004,Lower-middle income,ALB_2004
Albania,ALB,2005,Lower-middle income,ALB_2005
Albania,ALB,2006,Lower-middle income,ALB_2006
Albania,ALB,2007,Lower-middle income,ALB_2007
Albania,ALB,2008,Lower-middle income,ALB_2008
Albania,ALB,2009,Upper-middle income,ALB_2009
Albania,ALB,2010,Upper-middle income,ALB_2010
Albania,ALB,2011,Lower-middle income,ALB_2011
Albania,ALB,2012,Upper-middle income,ALB_2012
Albania,ALB,2013,Upper-middle income,ALB_2013
Albania,ALB,2014,Upper-middle income,ALB_2014
Albania,ALB,2015,Upper-middle income,ALB_2015
Albania,ALB,2016,Upper-middle income,ALB_2016
Algeria,DZA,1987,Upper-middle income,DZA_1987
Algeria,DZA,1988,Upper-middle income,DZA_1988
Algeria,DZA,1989,Lower-middle income,DZA_1989
Algeria,DZA,1990,Lower-middle income,DZA_1990
Algeria,DZA,1991,Lower-middle income,DZA_1991
Algeria,DZA,1992,Lower-middle income,DZA_1992
Algeria,DZA,1993,Lower-middle income,DZA_1993
Algeria,DZA,1994,Lower-middle income,DZA_1994
Algeria,DZA,1995,Lower-middle income,DZA_1995
Algeria,DZA,1996,Lower-middle income,DZA_1996
Algeria,DZA,1997,Lower-middle income,DZA_1997
Algeria,DZA,1998,Lower-middle income,DZA_1998
Algeria,DZA,1999,Lower-middle income,DZA_1999
Algeria,DZA,2000,Lower-middle income,DZA_2000
Algeria,DZA,2001,Lower-middle income,DZA_2001
Algeria,DZA,2002,Lower-middle income,DZA_2002
Algeria,DZA,2003,Lower-middle income,DZA_2003
Algeria,DZA,2004,Lower-middle income,DZA_2004
Algeria,DZA,2005,Lower-middle income,DZA_2005
Algeria,DZA,2006,Lower-middle income,DZA_2006
Algeria,DZA,2007,Lower-middle income,DZA_2007
Algeria,DZA,2008,Upper-middle income,DZA_2008
Algeria,DZA,2009,Upper-middle income,DZA_2009
Algeria,DZA,2010,Upper-middle income,DZA_2010
Algeria,DZA,2011,Upper-middle income,DZA_2011
Algeria,DZA,2012,Upper-middle income,DZA_2012
Algeria,DZA,2013,Upper-middle income,DZA_2013
Algeria,DZA,2014,Upper-middle income,DZA_2014
Algeria,DZA,2015,Upper-middle income,DZA_2015
Algeria,DZA,2016,Upper-middle income,DZA_2016
American Samoa,ASM,1987,High income,ASM_1987
American Samoa,ASM,1988,High income,ASM_1988
American Samoa,ASM,1989,High income,ASM_1989
American Samoa,ASM,1990,Upper-middle income,ASM_1990
American Samoa,ASM,1991,Upper-middle income,ASM_1991
American Samoa,ASM,1992,Upper-middle income,ASM_1992
American Samoa,ASM,1993,Upper-middle income,ASM_1993
American Samoa,ASM,1994,Upper-middle income,ASM_1994
American Samoa,ASM,1995,Upper-middle income,ASM_1995
American Samoa,ASM,1996,Upper-middle income,ASM_1996
American Samoa,ASM,1997,Upper-middle income,ASM_1997
American Samoa,ASM,1998,Upper-middle income,ASM_1998
American Samoa,ASM,1999,Upper-middle income,ASM_1999
American Samoa,ASM,2000,Upper-middle income,ASM_2000
American Samoa,ASM,2001,Upper-middle income,ASM_2001
American Samoa,ASM,2002,Upper-middle income,ASM_2002
American Samoa,ASM,2003,Upper-middle income,ASM_2003
American Samoa,ASM,2004,Upper-middle income,ASM_2004
American Samoa,ASM,2005,Upper-middle income,ASM_2005
American Samoa,ASM,2006,Upper-middle income,ASM_2006
American Samoa,ASM,2007,Upper-middle income,ASM_2007
American Samoa,ASM,2008,Upper-middle income,ASM_2008
American Samoa,ASM,2009,Upper-middle income,ASM_2009
American Samoa,ASM,2010,Upper-middle income,ASM_2010
American Samoa,ASM,2011,Upper-middle income,ASM_2011
American Samoa,ASM,2012,Upper-middle income,ASM_2012
American Samoa,ASM,2013,Upper-middle income,ASM_2013
American Samoa,ASM,2014,Upper-middle income,ASM_2014
American Samoa,ASM,2015,Upper-middle income,ASM_2015
American Samoa,ASM,2016,Upper-middle income,ASM_2016
Andorra,AND,1987,Not categorized,AND_1987
Andorra,AND,1988,Not categorized,AND_1988
Andorra,AND,1989,Not categorized,AND_1989
Andorra,AND,1990,High income,AND_1990
Andorra,AND,1991,High income,AND_1991
Andorra,AND,1992,High income,AND_1992
Andorra,AND,1993,High income,AND_1993
Andorra,AND,1994,High income,AND_1994
Andorra,AND,1995,High income,AND_1995
Andorra,AND,1996,High income,AND_1996
Andorra,AND,1997,High income,AND_1997
Andorra,AND,1998,High income,AND_1998
Andorra,AND,1999,High income,AND_1999
Andorra,AND,2000,High income,AND_2000
Andorra,AND,2001,High income,AND_2001
Andorra,AND,2002,High income,AND_2002
Andorra,AND,2003,High income,AND_2003
Andorra,AND,2004,High income,AND_2004
Andorra,AND,2005,High income,AND_2005
Andorra,AND,2006,High income,AND_2006
Andorra,AND,2007,High income,AND_2007
Andorra,AND,2008,High income,AND_2008
Andorra,AND,2009,High income,AND_2009
Andorra,AND,2010,High income,AND_2010
Andorra,AND,2011,High income,AND_2011
Andorra,AND,2012,High income,AND_2012
Andorra,AND,2013,High income,AND_2013
Andorra,AND,2014,High income,AND_2014
Andorra,AND,2015,High income,AND_2015
Andorra,AND,2016,High income,AND_2016
Angola,AGO,1987,Not categorized,AGO_1987
Angola,AGO,1988,Lower-middle income,AGO_1988
Angola,AGO,1989,Lower-middle income,AGO_1989
Angola,AGO,1990,Lower-middle income,AGO_1990
Angola,AGO,1991,Lower-middle income,AGO_1991
Angola,AGO,1992,Lower-middle income,AGO_1992
Angola,AGO,1993,Lower-middle income,AGO_1993
Angola,AGO,1994,Lower-middle income,AGO_1994
Angola,AGO,1995,Low income,AGO_1995
Angola,AGO,1996,Low income,AGO_1996
Angola,AGO,1997,Low income,AGO_1997
Angola,AGO,1998,Low income,AGO_1998
Angola,AGO,1999,Low income,AGO_1999
Angola,AGO,2000,Low income,AGO_2000
Angola,AGO,2001,Low income,AGO_2001
Angola,AGO,2002,Low income,AGO_2002
Angola,AGO,2003,Low income,AGO_2003
Angola,AGO,2004,Lower-middle income,AGO_2004
Angola,AGO,2005,Lower-middle income,AGO_2005
Angola,AGO,2006,Lower-middle income,AGO_2006
Angola,AGO,2007,Lower-middle income,AGO_2007
Angola,AGO,2008,Lower-middle income,AGO_2008
Angola,AGO,2009,Lower-middle income,AGO_2009
Angola,AGO,2010,Lower-middle income,AGO_2010
Angola,AGO,2011,Upper-middle income,AGO_2011
Angola,AGO,2012,Upper-middle income,AGO_2012
Angola,AGO,2013,Upper-middle income,AGO_2013
Angola,AGO,2014,Upper-middle income,AGO_2014
Angola,AGO,2015,Upper-middle income,AGO_2015
Angola,AGO,2016,Lower-middle income,AGO_2016
Antigua and Barbuda,ATG,1987,Upper-middle income,ATG_1987
Antigua and Barbuda,ATG,1988,Upper-middle income,ATG_1988
Antigua and Barbuda,ATG,1989,Upper-middle income,ATG_1989
Antigua and Barbuda,ATG,1990,Upper-middle income,ATG_1990
Antigua and Barbuda,ATG,1991,Upper-middle income,ATG_1991
Antigua and Barbuda,ATG,1992,Upper-middle income,ATG_1992
Antigua and Barbuda,ATG,1993,Upper-middle income,ATG_1993
Antigua and Barbuda,ATG,1994,Upper-middle income,ATG_1994
Antigua and Barbuda,ATG,1995,Upper-middle income,ATG_1995
Antigua and Barbuda,ATG,1996,Upper-middle income,ATG_1996
Antigua and Barbuda,ATG,1997,Upper-middle income,ATG_1997
Antigua and Barbuda,ATG,1998,Upper-middle income,ATG_1998
Antigua and Barbuda,ATG,1999,Upper-middle income,ATG_1999
Antigua and Barbuda,ATG,2000,Upper-middle income,ATG_2000
Antigua and Barbuda,ATG,2001,Upper-middle income,ATG_2001
Antigua and Barbuda,ATG,2002,High income,ATG_2002
Antigua and Barbuda,ATG,2003,Upper-middle income,ATG_2003
Antigua and Barbuda,ATG,2004,Upper-middle income,ATG_2004
Antigua and Barbuda,ATG,2005,High income,ATG_2005
Antigua and Barbuda,ATG,2006,High income,ATG_2006
Antigua and Barbuda,ATG,2007,High income,ATG_2007
Antigua and Barbuda,ATG,2008,High income,ATG_2008
Antigua and Barbuda,ATG,2009,Upper-middle income,ATG_2009
Antigua and Barbuda,ATG,2010,Upper-middle income,ATG_2010
Antigua and Barbuda,ATG,2011,Upper-middle income,ATG_2011
Antigua and Barbuda,ATG,2012,High income,ATG_2012
Antigua and Barbuda,ATG,2013,High income,ATG_2013
Antigua and Barbuda,ATG,2014,High income,ATG_2014
Antigua and Barbuda,ATG,2015,High income,ATG_2015
Antigua and Barbuda,ATG,2016,High income,ATG_2016
Argentina,ARG,1987,Upper-middle income,ARG_1987
Argentina,ARG,1988,Upper-middle income,ARG_1988
Argentina,ARG,1989,Lower-middle income,ARG_1989
Argentina,ARG,1990,Lower-middle income,ARG_1990
Argentina,ARG,1991,Upper-middle income,ARG_1991
Argentina,ARG,1992,Upper-middle income,ARG_1992
Argentina,ARG,1993,Upper-middle income,ARG_1993
Argentina,ARG,1994,Upper-middle income,ARG_1994
Argentina,ARG,1995,Upper-middle income,ARG_1995
Argentina,ARG,1996,Upper-middle income,ARG_1996
Argentina,ARG,1997,Upper-middle income,ARG_1997
Argentina,ARG,1998,Upper-middle income,ARG_1998
Argentina,ARG,1999,Upper-middle income,ARG_1999
Argentina,ARG,2000,Upper-middle income,ARG_2000
Argentina,ARG,2001,Upper-middle income,ARG_2001
Argentina,ARG,2002,Upper-middle income,ARG_2002
Argentina,ARG,2003,Upper-middle income,ARG_2003
Argentina,ARG,2004,Upper-middle income,ARG_2004
Argentina,ARG,2005,Upper-middle income,ARG_2005
Argentina,ARG,2006,Upper-middle income,ARG_2006
Argentina,ARG,2007,Upper-middle income,ARG_2007
Argentina,ARG,2008,Upper-middle income,ARG_2008
Argentina,ARG,2009,Upper-middle income,ARG_2009
Argentina,ARG,2010,Upper-middle income,ARG_2010
Argentina,ARG,2011,Upper-middle income,ARG_2011
Argentina,ARG,2012,Upper-middle income,ARG_2012
Argentina,ARG,2013,Upper-middle income,ARG_2013
Argentina,ARG,2014,High income,ARG_2014
Argentina,ARG,2015,Upper-middle income,ARG_2015
Argentina,ARG,2016,Upper-middle income,ARG_2016
Armenia,ARM,1987,Not categorized,ARM_1987
Armenia,ARM,1988,Not categorized,ARM_1988
Armenia,ARM,1989,Not categorized,ARM_1989
Armenia,ARM,1990,Upper-middle income,ARM_1990
Armenia,ARM,1991,Lower-middle income,ARM_1991
Armenia,ARM,1992,Lower-middle income,ARM_1992
Armenia,ARM,1993,Low income,ARM_1993
Armenia,ARM,1994,Low income,ARM_1994
Armenia,ARM,1995,Low income,ARM_1995
Armenia,ARM,1996,Low income,ARM_1996
Armenia,ARM,1997,Low income,ARM_1997
Armenia,ARM,1998,Low income,ARM_1998
Armenia,ARM,1999,Low income,ARM_1999
Armenia,ARM,2000,Low income,ARM_2000
Armenia,ARM,2001,Low income,ARM_2001
Armenia,ARM,2002,Lower-middle income,ARM_2002
Armenia,ARM,2003,Lower-middle income,ARM_2003
Armenia,ARM,2004,Lower-middle income,ARM_2004
Armenia,ARM,2005,Lower-middle income,ARM_2005
Armenia,ARM,2006,Lower-middle income,ARM_2006
Armenia,ARM,2007,Lower-middle income,ARM_2007
Armenia,ARM,2008,Lower-middle income,ARM_2008
Armenia,ARM,2009,Lower-middle income,ARM_2009
Armenia,ARM,2010,Lower-middle income,ARM_2010
Armenia,ARM,2011,Lower-middle income,ARM_2011
Armenia,ARM,2012,Lower-middle income,ARM_2012
Armenia,ARM,2013,Lower-middle income,ARM_2013
Armenia,ARM,2014,Lower-middle income,ARM_2014
Armenia,ARM,2015,Lower-middle income,ARM_2015
Armenia,ARM,2016,Lower-middle income,ARM_2016
Aruba,ABW,1987,High income,ABW_1987
Aruba,ABW,1988,High income,ABW_1988
Aruba,ABW,1989,High income,ABW_1989
Aruba,ABW,1990,High income,ABW_1990
Aruba,ABW,1991,Upper-middle income,ABW_1991
Aruba,ABW,1992,Upper-middle income,ABW_1992
Aruba,ABW,1993,Upper-middle income,ABW_1993
Aruba,ABW,1994,High income,ABW_1994
Aruba,ABW,1995,High income,ABW_1995
Aruba,ABW,1996,High income,ABW_1996
Aruba,ABW,1997,High income,ABW_1997
Aruba,ABW,1998,High income,ABW_1998
Aruba,ABW,1999,High income,ABW_1999
Aruba,ABW,2000,High income,ABW_2000
Aruba,ABW,2001,High income,ABW_2001
Aruba,ABW,2002,High income,ABW_2002
Aruba,ABW,2003,High income,ABW_2003
Aruba,ABW,2004,High income,ABW_2004
Aruba,ABW,2005,High income,ABW_2005
Aruba,ABW,2006,High income,ABW_2006
Aruba,ABW,2007,High income,ABW_2007
Aruba,ABW,2008,High income,ABW_2008
Aruba,ABW,2009,High income,ABW_2009
Aruba,ABW,2010,High income,ABW_2010
Aruba,ABW,2011,High income,ABW_2011
Aruba,ABW,2012,High income,ABW_2012
Aruba,ABW,2013,High income,ABW_2013
Aruba,ABW,2014,High income,ABW_2014
Aruba,ABW,2015,High income,ABW_2015
Aruba,ABW,2016,High income,ABW_2016
Australia,AUS,1987,High income,AUS_1987
Australia,AUS,1988,High income,AUS_1988
Australia,AUS,1989,High income,AUS_1989
Australia,AUS,1990,High income,AUS_1990
Australia,AUS,1991,High income,AUS_1991
Australia,AUS,1992,High income,AUS_1992
Australia,AUS,1993,High income,AUS_1993
Australia,AUS,1994,High income,AUS_1994
Australia,AUS,1995,High income,AUS_1995
Australia,AUS,1996,High income,AUS_1996
Australia,AUS,1997,High income,AUS_1997
Australia,AUS,1998,High income,AUS_1998
Australia,AUS,1999,High income,AUS_1999
Australia,AUS,2000,High income,AUS_2000
Australia,AUS,2001,High income,AUS_2001
Australia,AUS,2002,High income,AUS_2002
Australia,AUS,2003,High income,AUS_2003
Australia,AUS,2004,High income,AUS_2004
Australia,AUS,2005,High income,AUS_2005
Australia,AUS,2006,High income,AUS_2006
Australia,AUS,2007,High income,AUS_2007
Australia,AUS,2008,High income,AUS_2008
Australia,AUS,2009,High income,AUS_2009
Australia,AUS,2010,High income,AUS_2010
Australia,AUS,2011,High income,AUS_2011
Australia,AUS,2012,High income,AUS_2012
Australia,AUS,2013,High income,AUS_2013
Australia,AUS,2014,High income,AUS_2014
Australia,AUS,2015,High income,AUS_2015
Australia,AUS,2016,High income,AUS_2016
Austria,AUT,1987,High income,AUT_1987
Austria,AUT,1988,High income,AUT_1988
Austria,AUT,1989,High income,AUT_1989
Austria,AUT,1990,High income,AUT_1990
Austria,AUT,1991,High income,AUT_1991
Austria,AUT,1992,High income,AUT_1992
Austria,AUT,1993,High income,AUT_1993
Austria,AUT,1994,High income,AUT_1994
Austria,AUT,1995,High income,AUT_1995
Austria,AUT,1996,High income,AUT_1996
Austria,AUT,1997,High income,AUT_1997
Austria,AUT,1998,High income,AUT_1998
Austria,AUT,1999,High income,AUT_1999
Austria,AUT,2000,High income,AUT_2000
Austria,AUT,2001,High income,AUT_2001
Austria,AUT,2002,High income,AUT_2002
Austria,AUT,2003,High income,AUT_2003
Austria,AUT,2004,High income,AUT_2004
Austria,AUT,2005,High income,AUT_2005
Austria,AUT,2006,High income,AUT_2006
Austria,AUT,2007,High income,AUT_2007
Austria,AUT,2008,High income,AUT_2008
Austria,AUT,2009,High income,AUT_2009
Austria,AUT,2010,High income,AUT_2010
Austria,AUT,2011,High income,AUT_2011
Austria,AUT,2012,High income,AUT_2012
Austria,AUT,2013,High income,AUT_2013
Austria,AUT,2014,High income,AUT_2014
Austria,AUT,2015,High income,AUT_2015
Austria,AUT,2016,High income,AUT_2016
Azerbaijan,AZE,1987,Not categorized,AZE_1987
Azerbaijan,AZE,1988,Not categorized,AZE_1988
Azerbaijan,AZE,1989,Not categorized,AZE_1989
Azerbaijan,AZE,1990,Upper-middle income,AZE_1990
Azerbaijan,AZE,1991,Lower-middle income,AZE_1991
Azerbaijan,AZE,1992,Lower-middle income,AZE_1992
Azerbaijan,AZE,1993,Lower-middle income,AZE_1993
Azerbaijan,AZE,1994,Low income,AZE_1994
Azerbaijan,AZE,1995,Low income,AZE_1995
Azerbaijan,AZE,1996,Low income,AZE_1996
Azerbaijan,AZE,1997,Low income,AZE_1997
Azerbaijan,AZE,1998,Low income,AZE_1998
Azerbaijan,AZE,1999,Low income,AZE_1999
Azerbaijan,AZE,2000,Low income,AZE_2000
Azerbaijan,AZE,2001,Low income,AZE_2001
Azerbaijan,AZE,2002,Low income,AZE_2002
Azerbaijan,AZE,2003,Lower-middle income,AZE_2003
Azerbaijan,AZE,2004,Lower-middle income,AZE_2004
Azerbaijan,AZE,2005,Lower-middle income,AZE_2005
Azerbaijan,AZE,2006,Lower-middle income,AZE_2006
Azerbaijan,AZE,2007,Lower-middle income,AZE_2007
Azerbaijan,AZE,2008,Lower-middle income,AZE_2008
Azerbaijan,AZE,2009,Upper-middle income,AZE_2009
Azerbaijan,AZE,2010,Upper-middle income,AZE_2010
Azerbaijan,AZE,2011,Upper-middle income,AZE_2011
Azerbaijan,AZE,2012,Upper-middle income,AZE_2012
Azerbaijan,AZE,2013,Upper-middle income,AZE_2013
Azerbaijan,AZE,2014,Upper-middle income,AZE_2014
Azerbaijan,AZE,2015,Upper-middle income,AZE_2015
Azerbaijan,AZE,2016,Upper-middle income,AZE_2016
Bahamas,BHS,1987,High income,BHS_1987
Bahamas,BHS,1988,High income,BHS_1988
Bahamas,BHS,1989,High income,BHS_1989
Bahamas,BHS,1990,High income,BHS_1990
Bahamas,BHS,1991,High income,BHS_1991
Bahamas,BHS,1992,High income,BHS_1992
Bahamas,BHS,1993,High income,BHS_1993
Bahamas,BHS,1994,High income,BHS_1994
Bahamas,BHS,1995,High income,BHS_1995
Bahamas,BHS,1996,High income,BHS_1996
Bahamas,BHS,1997,High income,BHS_1997
Bahamas,BHS,1998,High income,BHS_1998
Bahamas,BHS,1999,High income,BHS_1999
Bahamas,BHS,2000,High income,BHS_2000
Bahamas,BHS,2001,High income,BHS_2001
Bahamas,BHS,2002,High income,BHS_2002
Bahamas,BHS,2003,High income,BHS_2003
Bahamas,BHS,2004,High income,BHS_2004
Bahamas,BHS,2005,High income,BHS_2005
Bahamas,BHS,2006,High income,BHS_2006
Bahamas,BHS,2007,High income,BHS_2007
Bahamas,BHS,2008,High income,BHS_2008
Bahamas,BHS,2009,High income,BHS_2009
Bahamas,BHS,2010,High income,BHS_2010
Bahamas,BHS,2011,High income,BHS_2011
Bahamas,BHS,2012,High income,BHS_2012
Bahamas,BHS,2013,High income,BHS_2013
Bahamas,BHS,2014,High income,BHS_2014
Bahamas,BHS,2015,High income,BHS_2015
Bahamas,BHS,2016,High income,BHS_2016
Bahrain,BHR,1987,High income,BHR_1987
Bahrain,BHR,1988,High income,BHR_1988
Bahrain,BHR,1989,High income,BHR_1989
Bahrain,BHR,1990,Upper-middle income,BHR_1990
Bahrain,BHR,1991,Upper-middle income,BHR_1991
Bahrain,BHR,1992,Upper-middle income,BHR_1992
Bahrain,BHR,1993,Upper-middle income,BHR_1993
Bahrain,BHR,1994,Upper-middle income,BHR_1994
Bahrain,BHR,1995,Upper-middle income,BHR_1995
Bahrain,BHR,1996,Upper-middle income,BHR_1996
Bahrain,BHR,1997,Upper-middle income,BHR_1997
Bahrain,BHR,1998,Upper-middle income,BHR_1998
Bahrain,BHR,1999,Upper-middle income,BHR_1999
Bahrain,BHR,2000,Upper-middle income,BHR_2000
Bahrain,BHR,2001,High income,BHR_2001
Bahrain,BHR,2002,High income,BHR_2002
Bahrain,BHR,2003,High income,BHR_2003
Bahrain,BHR,2004,High income,BHR_2004
Bahrain,BHR,2005,High income,BHR_2005
Bahrain,BHR,2006,High income,BHR_2006
Bahrain,BHR,2007,High income,BHR_2007
Bahrain,BHR,2008,High income,BHR_2008
Bahrain,BHR,2009,High income,BHR_2009
Bahrain,BHR,2010,High income,BHR_2010
Bahrain,BHR,2011,High income,BHR_2011
Bahrain,BHR,2012,High income,BHR_2012
Bahrain,BHR,2013,High income,BHR_2013
Bahrain,BHR,2014,High income,BHR_2014
Bahrain,BHR,2015,High income,BHR_2015
Bahrain,BHR,2016,High income,BHR_2016
Bangladesh,BGD,1987,Low income,BGD_1987
Bangladesh,BGD,1988,Low income,BGD_1988
Bangladesh,BGD,1989,Low income,BGD_1989
Bangladesh,BGD,1990,Low income,BGD_1990
Bangladesh,BGD,1991,Low income,BGD_1991
Bangladesh,BGD,1992,Low income,BGD_1992
Bangladesh,BGD,1993,Low income,BGD_1993
Bangladesh,BGD,1994,Low income,BGD_1994
Bangladesh,BGD,1995,Low income,BGD_1995
Bangladesh,BGD,1996,Low income,BGD_1996
Bangladesh,BGD,1997,Low income,BGD_1997
Bangladesh,BGD,1998,Low income,BGD_1998
Bangladesh,BGD,1999,Low income,BGD_1999
Bangladesh,BGD,2000,Low income,BGD_2000
Bangladesh,BGD,2001,Low income,BGD_2001
Bangladesh,BGD,2002,Low income,BGD_2002
Bangladesh,BGD,2003,Low income,BGD_2003
Bangladesh,BGD,2004,Low income,BGD_2004
Bangladesh,BGD,2005,Low income,BGD_2005
Bangladesh,BGD,2006,Low income,BGD_2006
Bangladesh,BGD,2007,Low income,BGD_2007
Bangladesh,BGD,2008,Low income,BGD_2008
Bangladesh,BGD,2009,Low income,BGD_2009
Bangladesh,BGD,2010,Low income,BGD_2010
Bangladesh,BGD,2011,Low income,BGD_2011
Bangladesh,BGD,2012,Low income,BGD_2012
Bangladesh,BGD,2013,Low income,BGD_2013
Bangladesh,BGD,2014,Lower-middle income,BGD_2014
Bangladesh,BGD,2015,Lower-middle income,BGD_2015
Bangladesh,BGD,2016,Lower-middle income,BGD_2016
Barbados,BRB,1987,Upper-middle income,BRB_1987
Barbados,BRB,1988,Upper-middle income,BRB_1988
Barbados,BRB,1989,High income,BRB_1989
Barbados,BRB,1990,Upper-middle income,BRB_1990
Barbados,BRB,1991,Upper-middle income,BRB_1991
Barbados,BRB,1992,Upper-middle income,BRB_1992
Barbados,BRB,1993,Upper-middle income,BRB_1993
Barbados,BRB,1994,Upper-middle income,BRB_1994
Barbados,BRB,1995,Upper-middle income,BRB_1995
Barbados,BRB,1996,Upper-middle income,BRB_1996
Barbados,BRB,1997,Upper-middle income,BRB_1997
Barbados,BRB,1998,Upper-middle income,BRB_1998
Barbados,BRB,1999,Upper-middle income,BRB_1999
Barbados,BRB,2000,High income,BRB_2000
Barbados,BRB,2001,Upper-middle income,BRB_2001
Barbados,BRB,2002,High income,BRB_2002
Barbados,BRB,2003,Upper-middle income,BRB_2003
Barbados,BRB,2004,Upper-middle income,BRB_2004
Barbados,BRB,2005,Upper-middle income,BRB_2005
Barbados,BRB,2006,High income,BRB_2006
Barbados,BRB,2007,High income,BRB_2007
Barbados,BRB,2008,High income,BRB_2008
Barbados,BRB,2009,High income,BRB_2009
Barbados,BRB,2010,High income,BRB_2010
Barbados,BRB,2011,High income,BRB_2011
Barbados,BRB,2012,High income,BRB_2012
Barbados,BRB,2013,High income,BRB_2013
Barbados,BRB,2014,High income,BRB_2014
Barbados,BRB,2015,High income,BRB_2015
Barbados,BRB,2016,High income,BRB_2016
Belarus,BLR,1987,Not categorized,BLR_1987
Belarus,BLR,1988,Not categorized,BLR_1988
Belarus,BLR,1989,Not categorized,BLR_1989
Belarus,BLR,1990,Upper-middle income,BLR_1990
Belarus,BLR,1991,Upper-middle income,BLR_1991
Belarus,BLR,1992,Upper-middle income,BLR_1992
Belarus,BLR,1993,Upper-middle income,BLR_1993
Belarus,BLR,1994,Lower-middle income,BLR_1994
Belarus,BLR,1995,Lower-middle income,BLR_1995
Belarus,BLR,1996,Lower-middle income,BLR_1996
Belarus,BLR,1997,Lower-middle income,BLR_1997
Belarus,BLR,1998,Lower-middle income,BLR_1998
Belarus,BLR,1999,Lower-middle income,BLR_1999
Belarus,BLR,2000,Lower-middle income,BLR_2000
Belarus,BLR,2001,Lower-middle income,BLR_2001
Belarus,BLR,2002,Lower-middle income,BLR_2002
Belarus,BLR,2003,Lower-middle income,BLR_2003
Belarus,BLR,2004,Lower-middle income,BLR_2004
Belarus,BLR,2005,Lower-middle income,BLR_2005
Belarus,BLR,2006,Lower-middle income,BLR_2006
Belarus,BLR,2007,Upper-middle income,BLR_2007
Belarus,BLR,2008,Upper-middle income,BLR_2008
Belarus,BLR,2009,Upper-middle income,BLR_2009
Belarus,BLR,2010,Upper-middle income,BLR_2010
Belarus,BLR,2011,Upper-middle income,BLR_2011
Belarus,BLR,2012,Upper-middle income,BLR_2012
Belarus,BLR,2013,Upper-middle income,BLR_2013
Belarus,BLR,2014,Upper-middle income,BLR_2014
Belarus,BLR,2015,Upper-middle income,BLR_2015
Belarus,BLR,2016,Upper-middle income,BLR_2016
Belgium,BEL,1987,High income,BEL_1987
Belgium,BEL,1988,High income,BEL_1988
Belgium,BEL,1989,High income,BEL_1989
Belgium,BEL,1990,High income,BEL_1990
Belgium,BEL,1991,High income,BEL_1991
Belgium,BEL,1992,High income,BEL_1992
Belgium,BEL,1993,High income,BEL_1993
Belgium,BEL,1994,High income,BEL_1994
Belgium,BEL,1995,High income,BEL_1995
Belgium,BEL,1996,High income,BEL_1996
Belgium,BEL,1997,High income,BEL_1997
Belgium,BEL,1998,High income,BEL_1998
Belgium,BEL,1999,High income,BEL_1999
Belgium,BEL,2000,High income,BEL_2000
Belgium,BEL,2001,High income,BEL_2001
Belgium,BEL,2002,High income,BEL_2002
Belgium,BEL,2003,High income,BEL_2003
Belgium,BEL,2004,High income,BEL_2004
